time,branch-misses,branch-instructions,LLC-load-misses,L1-dcache-load-misses,instructions,label,program,branch-misses_mean,branch-misses_std,branch-misses_max,branch-instructions_mean,branch-instructions_std,branch-instructions_max,LLC-load-misses_mean,LLC-load-misses_std,LLC-load-misses_max,L1-dcache-load-misses_mean,L1-dcache-load-misses_std,L1-dcache-load-misses_max,instructions_mean,instructions_std,instructions_max,miss_rate,branch_miss_rate,cache_miss_ratio
0.010151714,13280,522818,2106,70238,2617898,0,ffmpeg,16652.9,7882.908634789854,36683.0,809389.8,655354.1469885322,2600053.0,4419.3,6735.500345185946,23068.0,82020.3,57260.6160716072,244654.0,4153085.8,3286584.0255721714,12694814.0,0.0008044618986446,0.0254007601100954,33.33554817275748
0.010154637,12209,505513,1337,62212,2509774,0,ffmpeg,14205.5,3619.5136336867768,21371.0,599935.8,186356.33559858744,954178.0,3885.5,6748.379645020968,23068.0,63776.1,3699.000058574338,70238.0,3134581.8,1357307.7954170734,6599344.0,0.0005327170762319,0.0241516555426753,46.49626307922272
0.01015786,11565,463135,1209,56066,2290175,0,ffmpeg,14121.7,3675.155629357757,21371.0,594262.1,189894.8517390319,954178.0,3783.9,6783.712658517703,23068.0,62976.6,4423.622000126098,70238.0,3107579.3,1372604.0581946622,6599344.0,0.0005279070254862,0.0249710668140675,46.33553719008265
0.010158013,11342,465717,1134,56243,2303970,0,ffmpeg,14074.5,3710.943193972241,21371.0,590158.5,192422.5954838003,954178.0,3741.4,6800.510964462727,23068.0,62304.3,4909.596816440187,70238.0,3086872.8,1384116.7387709592,6599344.0,0.0004921936951463,0.0243537934973524,49.55330396475771
0.010158625,11632,460467,1147,56038,2287173,0,ffmpeg,13174.9,2960.190251018037,21371.0,540787.4,146504.73292104492,951825.0,3661.0,6828.724315549557,23068.0,61269.6,5042.548191804048,70238.0,2871484.7,1315877.612950726,6599344.0,0.0005014922345217,0.0252612559396092,48.81358885017421
0.010158686,11481,460136,1023,55870,2277473,0,ffmpeg,13003.6,3008.137711091183,21371.0,535070.4,148622.9988933223,951825.0,3553.9,6864.337249711568,23068.0,60371.4,5132.684898439242,70238.0,2842789.1,1326404.385825115,6599344.0,0.0004491818567412,0.0249512645146988,54.560546875
0.010159204,11699,464710,1189,56055,2302276,0,ffmpeg,12969.6,3022.140529124645,21371.0,532227.4,149781.60514354828,951825.0,3527.1,6873.95012508981,23068.0,59899.2,5305.5228834363015,70238.0,2828206.5,1332015.4876795,6599344.0,0.0005164452409505,0.0251747860498245,47.10504201680672
0.010159941,11467,464867,1212,55856,2299551,0,ffmpeg,11979.2,672.0915612226377,13280.0,483531.6,27229.949484591085,525756.0,1341.5,334.1913124743681,2106.0,59769.7,5395.103933712041,70238.0,2398227.2,140461.12323012092,2617898.0,0.0005270591837018,0.0246672173606271,46.04781533388294
0.010161675,11459,464408,1423,56838,2307612,0,ffmpeg,11911.8,688.5483602801336,13280.0,479752.7,26972.713389029235,525756.0,1354.4,334.6434918934985,2106.0,59281.5,5419.841331215808,70238.0,2379851.1,138933.2806113563,2617898.0,0.0006166545256938,0.0246743710823864,39.91432584269663
0.010161717,11571,476223,1332,58294,2359532,0,ffmpeg,11770.5,580.590169090436,13280.0,474799.4,21598.736512430205,522818.0,1311.2,302.2036840719751,2106.0,58371.0,4608.728048195273,70238.0,2355543.4,114797.04272826928,2617898.0,0.0005645184873447,0.0242973894637817,43.73143285821455
0.01016219,11642,464231,1296,56317,2300043,0,ffmpeg,11606.7,236.49808549851213,12209.0,468940.7,13585.982343334192,505513.0,1230.2,117.78398306507684,1423.0,56978.9,1977.0115185410605,62212.0,2323757.9,68922.20036542391,2509774.0,0.0005634674814916,0.0250779782522531,43.42097147262914
0.010162201,12336,479709,1443,59325,2365736,0,ffmpeg,11619.4,273.02470380701067,12336.0,466360.3,6438.156759167306,479709.0,1240.8,132.3344248485919,1443.0,56690.2,1176.7442656185983,59325.0,2309354.1,29510.646299080185,2365736.0,0.0006099579116359,0.0257155364699505,41.08379501385041
0.010162436,12230,470132,1195,57608,2328451,0,ffmpeg,11685.9,332.7549815972627,12336.0,467060.0,6428.894167917066,479709.0,1239.4,132.7815248193097,1443.0,56844.4,1186.8491619969748,59325.0,2313181.7,29227.560623692803,2365736.0,0.0005132165060735,0.0260139152112274,48.16722408026756
0.010162756,12085,467874,1385,56220,2317725,0,ffmpeg,11760.2,330.37715820964866,12336.0,467275.7,6414.998086953052,479709.0,1264.5,134.35793819333165,1443.0,56842.1,1188.1656683960969,59325.0,2314557.2,29069.11085978217,2365736.0,0.0005975684787589,0.0258295484905156,40.56277056277056
0.010163148,16005,701789,1489,58142,3484467,0,ffmpeg,12197.5,1377.2726874354148,16005.0,491407.9,74159.63900554922,701789.0,1298.7,144.28601995884097,1489.0,57052.5,1215.918514265211,59325.0,2434286.6,370013.94453278615,3484467.0,0.0004273249173187,0.0228059675971444,39.02147651006712
0.010163661,13634,498068,1565,63555,2463760,0,ffmpeg,12412.8,1420.4279323890828,16005.0,495201.1,73348.03644792893,701789.0,1352.9,130.33925817737955,1565.0,57821.0,2316.232525268282,63555.0,2452915.3,365908.4226451728,3484467.0,0.0006352077169822,0.0273737172961979,40.58429118773947
0.010163947,12271,466382,1342,56751,2309706,0,ffmpeg,12470.0,1399.8578499262037,16005.0,495368.3,73272.67479467847,701789.0,1368.2,117.28862784698936,1565.0,57890.6,2267.208278429079,63555.0,2453658.3,365575.9456401343,3484467.0,0.0005810260781995,0.0263109933252284,42.256887565152645
0.010164142,11802,466207,1266,57538,2306225,0,ffmpeg,12503.5,1377.010066129597,16005.0,495502.3,73211.89672610167,701789.0,1373.6,110.33504530397202,1565.0,58058.8,2159.3187608851727,63555.0,2454325.7,365269.3088795513,3484467.0,0.0005489488020688,0.0253148809115244,45.4127861089187
0.010164328,12372,470896,1286,57970,2333482,0,ffmpeg,12594.8,1329.5097509148968,16005.0,496151.1,72933.94385248765,701789.0,1359.9,112.01235050954884,1565.0,58172.0,2117.4751211970483,63555.0,2456912.7,364204.8227846074,3484467.0,0.0005511075075327,0.0262732614563269,45.042735042735046
0.010164343,11296,465703,1285,56486,2304704,0,ffmpeg,12567.3,1355.6268783604678,16005.0,495099.1,73328.13017670064,701789.0,1355.2,114.27627341961252,1565.0,57991.2,2182.102289078028,63555.0,2451429.9,366240.7000140308,3484467.0,0.0005575550883952,0.0242557504337519,43.92379471228616
0.010164434,11087,463601,1237,57181,2294461,0,ffmpeg,12511.8,1408.0650079689788,16005.0,495036.1,73357.86187731451,701789.0,1349.3,119.09384721492466,1565.0,58077.6,2124.7996611444496,63555.0,2450871.7,366501.23227382737,3484467.0,0.0005391242042796,0.0239149097717438,46.18820678513732
0.010165079,11259,455085,1250,55415,2255165,0,ffmpeg,12404.1,1463.1181656539848,16005.0,492573.7,74336.26253727825,701789.0,1330.0,117.85395859097378,1565.0,57686.6,2227.0454867378826,63555.0,2439814.6,370995.4791174693,3484467.0,0.0005542829219667,0.0247403787416004,44.29656274980016
0.01016522,12697,480598,1660,58866,2371561,0,ffmpeg,12450.8,1464.3961060981997,16005.0,493620.3,74058.35021424391,701789.0,1376.5,146.84023820316722,1660.0,57812.4,2257.435477113998,63555.0,2444125.6,369806.2052583767,3484467.0,0.0006999606166737,0.026419114480055,35.440096327513544
0.010165403,12017,468611,1217,57445,2312177,0,ffmpeg,12444.0,1466.4399067128577,16005.0,493694.0,74030.24301969838,701789.0,1359.7,155.13581863073912,1660.0,57934.9,2193.761784393701,63555.0,2443570.8,370021.00666487776,3484467.0,0.0005263435600546,0.0256438162061577,47.16338259441708
0.010166107,9509,361950,1258,42408,1795237,0,mb_bitcount,11794.4,1108.939252919962,13634.0,459710.1,36252.49394164423,498068.0,1336.6,150.883472329575,1660.0,56361.5,5370.69387716539,63555.0,2274647.8,177564.3627025309,2463760.0,0.0007007427427449,0.0262715118897309,33.683876092136614
0.010166858,11872,475036,1339,58238,2354533,0,ffmpeg,11618.2,905.4860941321432,12697.0,457406.9,34219.385780740944,480598.0,1314.0,128.07289590961122,1660.0,55829.8,4813.718077882515,58866.0,2263725.1,167725.6666752466,2371561.0,0.0005686900252873,0.0249917374857116,43.461194029850745
0.010167159,85665,1647203,37680,82104,9886167,1,spectre_v1,18957.6,23454.953668681588,85665.0,575489.0,378100.3807074401,1647203.0,4947.8,11501.631631111204,37680.0,58365.1,9624.935502814182,82104.0,3021371.2,2417813.9171255417,9886167.0,0.0038113857664567,0.0520063088724893,2.1789230646745046
0.010170015,19706,617223,2635,73532,3034830,0,ffmpeg,19748.0,23319.814736256663,85665.0,590590.6,376261.9756715614,1647203.0,5084.7,11461.0148285394,37680.0,59964.5,10736.875235995474,82104.0,3094231.7,2404811.791386736,9886167.0,0.0008682526308713,0.0319268207328295,27.89529590288316
0.010170269,11567,453911,1371,55814,2244599,0,ffmpeg,19667.5,23349.476359819677,85665.0,588892.1,376900.1246706701,1647203.0,5093.2,11457.91561226464,37680.0,59748.9,10802.81956456017,82104.0,3085343.4,2408097.9900702736,9886167.0,0.000610799251537,0.0254829129875394,40.68075801749272
0.010170584,11436,463069,1398,55309,2290592,0,ffmpeg,19681.5,23343.94053306149,85665.0,588628.7,376996.6902492647,1647203.0,5104.5,11453.79757741704,37680.0,59631.2,10848.634617621989,82104.0,3083932.2,2408610.3731806213,9886167.0,0.0006103223051847,0.0246960502731768,39.53466761972837
0.0101709,12187,472479,1422,57747,2329521,0,ffmpeg,19791.5,23301.49527033262,85665.0,589516.5,376679.8648549808,1647203.0,5123.0,11447.004159264652,37680.0,59687.8,10835.899960573424,82104.0,3087438.2,2407358.71699983,9886167.0,0.0006104256581393,0.0257936843887571,40.58116654954322
0.010171349,11755,451400,1223,55490,2230857,0,ffmpeg,19841.1,23281.83438482076,85665.0,589148.0,376827.7630049746,1647203.0,5120.3,11448.022323625257,37680.0,59695.3,10832.639434700195,82104.0,3085007.4,2408304.556130364,9886167.0,0.0005482195639525,0.0260411474498284,45.33496732026144
0.010171852,11905,466323,1388,55898,2307669,0,ffmpeg,19761.9,23310.16731647849,85665.0,587720.5,377311.39030786697,1647203.0,5093.1,11457.476573545038,37680.0,59398.5,10898.3461563874,82104.0,3078618.2,2410491.386496851,9886167.0,0.0006014724809006,0.0255294602036352,40.24334053275738
0.010171858,11047,439222,1087,53216,2174746,0,ffmpeg,19664.9,23347.964505379143,85665.0,584781.6,378454.9477788164,1647203.0,5080.1,11462.435851753133,37680.0,58975.6,11063.374211032224,82104.0,3064875.1,2415732.753621534,9886167.0,0.0004998282558844,0.0251512329727723,48.91176470588236
0.010172689,11585,450981,1507,55292,2233367,0,ffmpeg,19872.5,23256.68009292049,85665.0,593684.7,373647.09347935073,1647203.0,5105.0,11453.477472899758,37680.0,60264.0,9568.861734234037,82104.0,3108688.1,2394022.919642976,9886167.0,0.0006747656454287,0.0256883866761866,36.6657824933687
0.010172795,11490,450664,1463,54803,2220014,0,ffmpeg,19834.3,23271.590295895123,85665.0,591247.5,374585.3057224304,1647203.0,5117.4,11449.013477151646,37680.0,59920.5,9710.280671650113,82104.0,3095236.2,2399103.8572999067,9886167.0,0.0006590045562755,0.0254956564188477,37.43374316939891
0.010173004,11806,461430,1018,55715,2287136,0,ffmpeg,12448.4,2568.1723808532884,19706.0,472670.2,51674.37140573493,617223.0,1451.2,446.1095530622046,2635.0,57281.6,5817.087686768621,73532.0,2335333.1,250122.51485952947,3034830.0,0.000445097954342,0.0255856238527537,54.676153091265945
0.01017329,11554,465705,1496,55797,2306547,0,ffmpeg,11633.2,305.73547026414207,12187.0,457518.4,9940.922897020691,472479.0,1337.3,170.6250274726044,1507.0,55508.1,1116.6466117600194,57747.0,2262504.8,48926.890574495534,2329521.0,0.000648588279975,0.0248096438525593,37.27254509018036
0.0101735,11856,451379,1257,55812,2225353,0,ffmpeg,11662.1,312.36959945955914,12187.0,457265.2,10074.364207127104,472479.0,1325.9,171.92663163888747,1507.0,55507.9,1116.5859125027398,57747.0,2260580.2,50074.57029226831,2329521.0,0.0005648539513263,0.0262661172404625,44.36565977742448
0.010173562,12753,482303,1732,58856,2384595,0,ffmpeg,11793.8,452.6054941482636,12753.0,459188.6,12778.66271216108,482303.0,1359.3,214.6294222349672,1732.0,55862.6,1532.3536145418825,58856.0,2269980.5,63388.107356802975,2384595.0,0.0007263284849928,0.0264418292197452,33.96191575302943
0.010174194,11719,459395,1265,56548,2272286,0,ffmpeg,11747.0,431.11638026546063,12753.0,457880.2,11906.75228412942,482303.0,1343.6,215.2746049946034,1732.0,55742.7,1410.5955440481378,58856.0,2264257.0,59902.81857215623,2384595.0,0.0005567078454438,0.025509582146993,44.66666666666666
